Violation ID,Timestamp,Location,Violation Type,Vehicle Type,Severity
VIO-000035,2025/21/01 22:46:46,"-59.7613,142.3310",Illegal Turn,Sedan,5
VIO-000036,2025-01-26 07:11:32,"-2.5914,139.3615",No Signal,Van,2
VIO-000037,2025/31/03 15:42:33,"79.5892,156.8497",Illegal Parking,Sedan,5
VIO-000038,2025_09_23 18:56:51,"76.1576,134.4228",No Signal,Sedan,2
VIO-000039,2025-02-15 05:03:18,"72.3180,-153.3489",Illegal Turn,Truck,HIGH
VIO-000040,2025-06-03 09:32:11,"-64.2530,89.5916",Illegal Turn,Motorcycle,2
VIO-000041,2025-05-10 13:29:43,"28.6461,77.9515",No Signal,Motorcycle,4
VIO-000042,2025-11-08 06:03:27,,Illegal Parking,Motorcycle,3
VIO-000043,12/20/24 17:33,"-52.6756,144.0912",Illegal Parking,Bus,3
VIO-000044,2025-09-09 12:21:47,"24.9351,-75.6035",Illegal Parking,Sedan,1
VIO-000045,2025-01-17 04:58:28,"77.4693,9.8785",Red Light,Motorcycle,5
VIO-000046,2025-02-28 01:53:02,"-4.0130,-130.1358",Illegal Turn,Bus,3
VIO-000047,2024-12-06 09:15:40,"-87.3866,90.6365",Illegal Parking,Truck,3
VIO-000048,2025-06-29 13:57:08,"61.4025,-43.0964",No Signal,Truck,4
VIO-000049,2025-09-24 09:58:51,"-84.8010,-119.2648",Illegal Parking,Truck,4
VIO-000050,2025-09-15 12:34:33,"70.1615,45.6744",Illegal Turn,Bus,HIGH
VIO-000051,2024-11-29 22:42:51,"-30.7220,-95.6112",Red Light,Sedan,3
VIO-000052,2025-03-16 06:34:20,"16.7459,34.6179",Illegal Parking,Motorcycle,5
VIO-000053,2025-01-15 10:09:06,"5.1842,34.5551",Illegal Turn,Van,5
VIO-000054,2025-08-16 16:51:12,"31.2294,-104.1386",Red Light,Van,5
VIO-000055,2024-11-21 11:36:02,"-3.5493,-109.0036",Speeding,Truck,2
VIO-000056,2024-12-03 21:11:04,"25.0409,7.9075",Illegal Turn,Sedan,4
VIO-000057,2025-01-31 11:39:52,"-70.6404,-64.1534",Red Light,Van,3
VIO-000058,2024-12-20 06:23:47,"75.1883,40.1737",Illegal Turn,Sedan,4
VIO-000059,2025-01-05 00:50:20,"10.8523,104.2473",Illegal Parking,Truck,3
VIO-000060,2025-02-11 19:19:53,"-41.4155,25.8015",Speeding,Sedan,2
VIO-000061,2025-01-23 23:38:11,"39.0454,-71.5815",No Signal,Van,3
VIO-000062,2025-09-28 14:44:26,"71.9964,-11.7925",No Signal,Sedan,3
VIO-000063,2025-09-25 00:31:55,"81.6949,71.9392",No Signal,Sedan,
VIO-000064,2024-12-08 11:50:36,"82.7977,-0.1892",No Signal,Sedan,2
VIO-000065,2025-01-16 10:53:59,"37.0457,129.5935",Speeding,Bus,1
VIO-000066,2024-11-29 10:17:40,"78.7665,-33.1438",Illegal Turn,Sedan,3
VIO-000067,2025-09-23 23:32:23,"38.3222,-97.0805",Illegal Parking,Sedan,1
VIO-000068,2025-04-05 09:10:48,"85.8367,7.6247",Illegal Parking,Bus,3
VIO-000069,2025-01-19 21:34:47,,Red Light,Bus,5
VIO-000070,2025-06-15 04:28:52,"-72.2923,-109.9658",Speeding,Sedan,4
VIO-000071,2025-10-25 21:06:10,"76.9706,70.3640",Speeding,Motorcycle,4
VIO-000072,2024-11-28 01:17:36,"13.2633,-16.9520",Red Light,Bus,2
VIO-000073,2025-07-25 19:38:53,"-21.4703,80.5619",Illegal Turn,Van,4
VIO-000074,2025-06-20 07:30:33,"-69.0680,-2.9355",Illegal Turn,Bus,4
VIO-000075,2025-09-23 14:18:22,"-11.1664,-85.7235",Red Light,Van,5
VIO-000076,2025-02-22 04:18:23,"-35.6833,-140.8954",Red Light,Van,3
VIO-000077,2025-09-11 00:25:01,"67.7962,-113.4857",Illegal Turn,Truck,5
VIO-000078,2025-04-02 13:11:44,"-76.5794,64.3642",Illegal Turn,Motorcycle,4
VIO-000079,2025-02-20 00:26:58,"29.3077,60.6858",No Signal,Truck,4
VIO-000080,2025-10-30 01:09:59,"-50.2984,31.4739",red light,Sedan,3
VIO-000081,2025-01-04 15:39:56,"-75.9829,159.8553",Speeding,Van,3
VIO-000082,2025-10-01 18:00:02,"-88.7498,-58.3820",No Signal,Bus,1
VIO-000083,2025-08-25 14:40:11,"49.1748,-179.0322",Speeding,Bus,3
VIO-000084,2025-08-21 01:42:15,"-44.6519,55.6154",Illegal Turn,Truck,3
VIO-000085,2025-03-29 20:24:22,"14.7246,-82.2523",Speeding,Truck,1
VIO-000086,2025-04-29 18:00:07,"60.1144,-82.1468",No Signal,Van,1
VIO-000087,2025-04-19 07:57:17,"78.7921,-111.8076",Illegal Turn,Bus,2
VIO-000088,2025-04-22 13:25:27,"-68.2248,72.4231",Red Light,Motorcycle,
VIO-000089,2025-08-11 23:17:34,"-11.7186,25.7019",Speeding,Motorcycle,1
VIO-000090,2025-06-12 01:16:06,"18.2257,110.3120",Illegal Turn,Motorcycle,4
VIO-000091,2025-01-20 18:34:14,"56.9287,155.9054",Speeding,Bus,1
VIO-000092,2026-Oct-30 11:00:00,"13.8451,-158.7558",No Signal,Van,
VIO-000093,2025-08-02 14:18:04,"-25.9245,-119.4383",Illegal Turn,Motorcycle,5
VIO-000094,2025-02-24 01:42:32,"44.5361,-45.6118",Red Light,Bus,5
VIO-000095,2025-04-30 06:40:50,"-39.4626,126.1709",Speeding,Motorcycle,4
VIO-000096,2025-01-26 20:30:00,"26.5644,25.4732",Illegal Parking,Truck,HIGH
VIO-000097,2025-07-31 04:55:35,"87.9294,24.2257",Red Light,Motorcycle,3
VIO-000098,2025-09-11 01:41:58,,Speeding,Bus,5
VIO-000099,03/17/25 15:02,"-9.1232,23.4449",Illegal Turn,Truck,3
VIO-000100,2025-09-11 03:18:19,"-21.6738,-87.2739",No Signal,Bus,1
VIO-000101,2024-11-18 17:43:41,"78.2184,-121.3457",Red Light,Bus,5
VIO-000102,2025-07-21 06:59:05,"-55.0427,112.5889",Speeding,Van,2
VIO-000103,2025-05-09 17:27:43,"86.3515,-49.0541",Illegal Parking,Sedan,5
VIO-000104,2025-04-29 09:53:04,,No Signal,Van,5
VIO-000105,2024-12-15 17:33:15,"-87.7956,-84.4754",Red Light,Truck,5
VIO-000106,2025-01-03 02:56:44,"-39.4138,-10.8544",Illegal Turn,Bus,1
VIO-000107,2025-02-23 23:34:53,"16.8214,-106.3448",Red Light,Bus,
VIO-000108,2024-12-07 14:41:42,"-23.8886,-137.2933",Illegal Parking,Sedan,2
VIO-000109,2025-07-23 06:56:57,"52.6271,-179.5983",Red Light,Motorcycle,5
VIO-000110,2025_05_10 20:43:28,"80.4248,139.7523",Red Light,Motorcycle,3
VIO-000111,2025-05-18 20:43:14,"17.1504,-178.5959",Illegal Turn,Sedan,2
VIO-000112,2025/25/04 06:57:41,"45.1188,-44.1128",Red Light,Sedan,5
VIO-000113,2024-12-29 04:12:44,"56.7667,-51.4241",Speeding,Motorcycle,3
VIO-000114,2024-11-22 16:39:42,"61.3754,146.7203",Illegal Turn,Sedan,5
VIO-000115,2025-01-27 05:58:13,"14.2387,-158.9954",Illegal Turn,Bus,4
VIO-000116,2025-02-16 09:13:01,"77.0295,-30.8505",Speeding,Truck,3
VIO-000117,2025-04-21 15:00:00,"-72.7382,-150.4130",No Signal,Van,4
VIO-000118,2025-06-06 22:20:19,"-79.5559,106.4850",No Signal,Bus,
VIO-000119,2025-05-13 12:41:40,"-27.1955,-99.0410",Illegal Turn,Truck,4
VIO-000120,2024-12-20 16:55:06,"-71.8324,-142.9906",No Signal,Motorcycle,3
VIO-000121,N/A,,Red Light,Sedan,5
VIO-000122,2025-05-02 06:14:11,"-9.0942,115.5753",No Signal,Sedan,4
VIO-000123,2025-03-14 00:32:20,"-64.6435,0.9223",Illegal Turn,Motorcycle,1
VIO-000124,2024-11-29 08:20:05,"-12.2250,-135.6053",Illegal Turn,Van,5
VIO-000125,2024-11-27 03:26:33,"31.3325,55.0554",illegal turn,Truck,3
VIO-000126,2025-03-28 20:37:09,"3.6892,-14.6274",No Signal,Sedan,
VIO-000127,2025-07-19 00:54:02,"-0.1341,-115.2078",No Signal,Motorcycle,4
VIO-000128,2025-08-23 07:24:47,,Red Light,Van,1
VIO-000129,2025-01-06 11:54:43,"9.0233,114.3306",Speeding,Truck,1
VIO-000130,2024-11-18 17:48:08,"6.0053,-10.8208",Red Light,Sedan,5
VIO-000131,2025-07-16 23:12:19,"8.3048,51.7957",Speeding,Bus,1
VIO-000132,2025-06-23 01:59:09,"82.0415,-70.5438",Illegal Parking,Bus,4
VIO-000133,2025-11-09 20:50:17,"-15.0049,82.3587",Speeding,Sedan,
VIO-000134,2025-11-07 04:34:45,"64.0846,90.5094",Illegal Parking,Motorcycle,2
VIO-000135,2025_06_02 12:59:14,"-63.2043,40.2468",Illegal Parking,Van,4
VIO-000136,2025-05-24 11:35:40,"-48.0174,112.8057",Illegal Parking,Motorcycle,2
VIO-000137,2025-04-30 19:36:45,"-83.6651,157.8816",Illegal Turn,Sedan,3
VIO-000138,2024_12_02 15:16:49,"-69.6910,160.8011",Illegal Parking,Truck,4
VIO-000139,N/A,"84.8856,38.2311",Illegal Parking,Bus,1
VIO-000140,2025-05-28 01:18:56,"-80.3482,-68.2762",Illegal Parking,Van,1
VIO-000141,2025-03-20 11:50:24,"-47.1575,155.4056",Speeding,Motorcycle,5
VIO-000142,2025-08-05 09:46:55,"-52.6120,11.3271",Illegal Parking,Bus,5
VIO-000143,2025-03-15 04:29:10,"-77.9725,139.5750",Speeding,Motorcycle,2
VIO-000144,2025-05-01 19:16:12,"84.9216,-87.2673",No Signal,Van,5
VIO-000145,2025-06-23 16:41:10,"-82.5362,24.8764",Speeding,Truck,5
VIO-000146,2025-07-29 16:04:08,"71.9437,20.4040",No Signal,Motorcycle,3
VIO-000147,2024-11-21 05:01:21,"42.3118,-86.3172",Speeding,Motorcycle,5
VIO-000148,2025-03-16 07:58:45,"-58.2090,175.7275",Illegal Turn,Motorcycle,3
VIO-000149,2025-10-24 15:00:31,"-56.0660,-65.4556",Illegal Parking,Sedan,5
VIO-000150,2025-02-23 19:17:47,"84.7006,56.2204",No Signal,Truck,5
VIO-000151,2025-02-12 15:48:49,"68.2762,-177.0122",Red Light,Sedan,4
VIO-000152,2025-11-01 20:20:12,"17.2573,-151.4309",Speeding,Bus,LOW
VIO-000153,2025-06-28 01:15:02,"-25.3455,61.9580",Illegal Parking,Motorcycle,3
VIO-000154,2025-10-20 13:22:56,"-78.4497,107.5943",Red Light,Motorcycle,2
VIO-000155,2025-01-19 11:49:33,"69.6998,-96.9447",Red Light,Bus,3
VIO-000156,2025-06-04 05:59:14,"-7.6789,-117.2850",No Signal,Van,LOW
VIO-000157,2024-12-04 01:29:22,"70.1828,-117.3024",Illegal Parking,Sedan,2
VIO-000158,2024-12-18 10:54:35,"20.1013,-99.8231",Speeding,Sedan,2
VIO-000159,2025-03-01 18:13:13,"81.3513,-46.5224",Red Light,Bus,1
VIO-000160,2024-12-08 15:20:41,"-6.8417,88.1835",Illegal Parking,Truck,3
VIO-000161,2024-12-11 02:38:40,"38.9953,-126.0001",Illegal Turn,Bus,4
VIO-000162,2025-03-16 08:35:39,"4.4582,-173.9881",Illegal Parking,Truck,HIGH
VIO-000163,2025-05-26 13:14:15,"7.3461,91.7655",Red Light,Van,5
VIO-000164,2025-02-19 21:34:30,"35.3094,-99.8453",No Signal,Truck,1
VIO-000165,2025-07-12 19:04:59,"-6.3980,-107.0828",Red Light,Bus,2
VIO-000166,2025_04_24 15:57:26,"-70.3247,137.0934",Illegal Parking,Bus,3
VIO-000167,2024-12-17 09:14:06,"16.1429,110.0936",Illegal Turn,Truck,1
VIO-000168,2024-12-30 15:52:35,"11.6450,91.7066",No Signal,Truck,HIGH
VIO-000169,2025-09-20 17:19:18,"72.3226,19.1816",Speeding,Van,3
VIO-000170,2025-07-05 22:41:38,"16.6667,-175.9396",Red Light,Sedan,4
VIO-000171,01/27/25 08:39,"-51.2594,77.6855",Illegal Turn,Truck,5
VIO-000172,2025-04-13 20:22:51,"86.0451,90.2861",No Signal,Sedan,5
VIO-000173,2025-10-12 05:50:19,"7.6018,-178.1217",Illegal Turn,Bus,5
VIO-000174,2025-04-26 15:03:26,"36.1161,-97.5795",No Signal,Van,5
VIO-000175,2025-10-23 21:19:50,"55.8117,117.9838",No Signal,Van,5
VIO-000176,2025-06-14 23:17:44,"8.4433,-125.4218",no signal,Truck,LOW
VIO-000177,2025-11-03 03:41:17,"-67.9094,-5.2182",Illegal Parking,Van,4
VIO-000178,2025_06_04 16:03:46,"-7.7009,170.3496",Illegal Parking,Van,1
VIO-000179,2024-11-20 16:57:55,"19.1161,71.3454",Illegal Parking,Bus,3
VIO-000180,2025-02-27 01:32:43,"48.3517,103.1797",No Signal,Sedan,1
VIO-000181,2025-03-08 13:56:30,"4.9634,-123.6908",Red Light,Sedan,2
VIO-000182,2024-11-15 08:19:23,"-21.7861,108.8779",Red Light,Bus,4
VIO-000183,2025-08-10 01:33:32,"35.6612,105.0651",Illegal Turn,Bus,5
VIO-000184,2025-04-11 22:47:26,"18.0420,-47.9101",Speeding,Van,4
VIO-000185,2025-01-04 13:03:48,"68.5511,10.4037",Illegal Parking,Truck,4
VIO-000186,2025-10-10 16:32:17,"-45.9191,-69.6389",No Signal,Sedan,1
VIO-000187,2025-08-19 12:55:27,"-74.9353,81.3924",Illegal Turn,Motorcycle,3
VIO-000188,2025-11-02 01:09:01,"-0.2885,21.3081",Speeding,Truck,2
VIO-000189,2025-03-28 18:00:47,"-12.9084,136.6924",Illegal Turn,Sedan,
VIO-000190,N/A,"-8.2564,-141.1852",Red Light,Motorcycle,1
VIO-000191,2025-04-28 18:03:04,"-59.8335,145.7603",Illegal Parking,Sedan,1
VIO-000192,2025-08-11 17:41:22,"29.7339,-43.5819",Illegal Turn,Truck,2
VIO-000193,2025-09-07 21:04:05,"56.8677,56.5326",Red Light,Sedan,2
VIO-000194,2025-04-17 06:06:59,"2.5974,50.8457",Speeding,Sedan,1
VIO-000195,2025-03-27 17:22:24,,Illegal Parking,Motorcycle,5
VIO-000196,2025-01-10 01:59:09,"-29.9864,137.3639",Illegal Turn,Sedan,5
VIO-000197,2025-02-18 13:45:03,"-30.9224,84.5507",No Signal,Van,3
VIO-000198,2025-03-31 07:27:48,"46.4839,-32.9001",illegal turn,Sedan,2
VIO-000199,2025-08-12 03:18:46,"83.6690,6.4234",Speeding,Bus,3
VIO-000200,2025/10/06 00:28:02,"-40.2264,-39.2672",Illegal Parking,Motorcycle,5
VIO-000201,2025-08-10 20:48:13,"16.6900,-114.7901",No Signal,Sedan,2
VIO-000202,2025-06-19 07:59:30,"85.4276,143.8427",No Signal,Sedan,3
VIO-000203,2025-09-02 03:45:14,"51.8953,139.1536",Illegal Parking,Sedan,1
VIO-000204,2025-04-20 23:23:28,"-72.2113,92.6738",No Signal,Bus,5
VIO-000205,2025_04_09 10:10:08,"45.4017,149.8389",Illegal Parking,Van,3
VIO-000206,2025-05-27 15:55:33,"-1.2877,29.0906",Red Light,Motorcycle,4
VIO-000207,2025-08-11 06:31:46,"23.0419,-71.5904",No Signal,Van,4
VIO-000208,2025-08-23 02:51:58,"-36.6913,-27.2861",Speeding,Sedan,3
VIO-000209,2026-Oct-30 11:00:00,"-72.7029,-32.9608",No Signal,Motorcycle,3
VIO-000210,2025-10-08 22:42:44,"-18.1276,-15.5877",Illegal Turn,Van,4
VIO-000211,2025-05-03 07:37:14,"-49.9091,-130.8126",Red Light,Truck,3
VIO-000212,2026-Oct-30 11:00:00,"-64.5151,8.2208",red light,Truck,2
VIO-000213,2026-Oct-30 11:00:00,"27.0759,-139.3972",No Signal,Motorcycle,3
VIO-000214,2025-09-24 04:10:00,"40.5144,85.3958",Speeding,Sedan,4
VIO-000215,2025-03-27 14:12:07,"25.2484,41.2535",Red Light,Truck,2
VIO-000216,2025-10-20 21:30:01,"71.8598,-159.5163",Speeding,Bus,1
VIO-000217,2025-03-08 20:10:52,"-41.7905,-149.6666",Speeding,Motorcycle,2
VIO-000218,2025-07-07 06:52:41,"51.6215,-54.0958",No Signal,Truck,4
VIO-000219,2024-12-16 19:42:54,,Red Light,Van,3
VIO-000220,2025-01-01 05:53:35,,No Signal,Sedan,2
VIO-000221,2024-12-03 21:42:07,"-12.5414,-148.9429",No Signal,Truck,3
VIO-000222,2025-07-13 15:45:32,"39.6253,124.2257",Red Light,Bus,3
VIO-000223,2024/02/12 17:44:14,"-16.3948,89.1537",Illegal Parking,Motorcycle,2
VIO-000224,2025/11/03 03:37:59,"-64.7394,106.8435",No Signal,Van,3
VIO-000225,2025_08_15 11:40:12,"-55.3281,-29.8527",No Signal,Van,
VIO-000226,2025-05-13 00:52:58,"84.4608,155.7798",No Signal,Sedan,1
VIO-000227,2025-06-24 19:53:45,"-19.1811,-115.1200",Illegal Turn,Truck,5
VIO-000228,2025-02-23 05:36:00,"11.9918,-23.9117",Speeding,Motorcycle,4
VIO-000229,2026-Oct-30 11:00:00,"43.3371,-179.6445",No Signal,Motorcycle,5
VIO-000230,2025-02-22 08:06:29,"21.0369,132.8412",Red Light,Bus,1
VIO-000231,2025-02-01 14:23:56,,Red Light,Van,3
VIO-000232,2025-10-08 18:03:41,"-21.9909,175.6694",No Signal,Van,4
VIO-000233,2025-09-28 14:55:52,"56.9466,-155.5918",No Signal,Truck,
VIO-000234,2025-09-09 14:24:44,"-26.1792,35.1229",No Signal,Sedan,5
VIO-000235,2025-01-09 06:53:41,"-38.2393,148.6507",Illegal Turn,Van,1
VIO-000236,2025-03-07 14:09:46,"-75.2993,-45.7511",Illegal Parking,Van,5
VIO-000237,2025-03-17 10:18:07,,Red Light,Truck,1
VIO-000238,2025-10-10 08:46:58,"-32.3862,-87.1842",Red Light,Sedan,2
VIO-000239,2025-11-11 17:24:19,"-4.2558,49.7235",Illegal Turn,Truck,1
VIO-000240,2025-10-08 19:23:35,"28.5852,-144.1640",No Signal,Van,
VIO-000241,2024-12-27 01:19:57,"-74.3324,-172.7141",No Signal,Sedan,2
VIO-000242,2025-06-16 12:12:02,"33.6182,-22.2875",Red Light,Truck,3
VIO-000243,2025-10-30 02:45:43,"84.5611,69.7719",No Signal,Bus,2
VIO-000244,2025-07-20 17:19:12,"77.6224,53.9876",Speeding,Sedan,1
VIO-000245,09/01/25 05:41,"-89.4327,69.7332",Speeding,Van,4
VIO-000246,2025-03-06 08:17:49,"-64.5787,105.3220",Illegal Parking,Truck,5
VIO-000247,2025-03-16 13:06:22,"24.5747,74.7894",Red Light,Van,2
VIO-000248,2025-05-01 12:32:06,"-38.8355,5.8550",No Signal,Motorcycle,4
VIO-000249,2025-07-22 23:06:50,"-61.0623,-115.9300",Red Light,Bus,1
VIO-000250,2025-04-23 01:54:06,"-85.9091,139.3758",Red Light,Van,2
VIO-000251,2025-11-05 08:03:14,"8.3079,-144.1192",Red Light,Sedan,5
VIO-000252,2025-01-31 20:55:24,"-52.0569,128.2110",Illegal Parking,Motorcycle,2
VIO-000253,2025-09-12 11:50:01,"62.9671,87.5212",Illegal Turn,Sedan,2
VIO-000254,2025-01-13 01:24:12,"-14.6564,-66.1072",Illegal Turn,Motorcycle,5
VIO-000255,2025-03-25 04:44:08,"37.8110,-40.3177",Speeding,Sedan,4
VIO-000256,2025-06-22 07:34:57,"-49.8733,164.6067",Red Light,Van,3
VIO-000257,2025-02-15 16:07:09,"-6.2762,149.9928",Illegal Parking,Sedan,
VIO-000258,2025-07-27 22:00:38,"40.4782,99.8481",Illegal Parking,Van,4
VIO-000259,2025-10-24 09:56:03,"-69.3251,5.1384",Illegal Parking,Truck,4
VIO-000260,2025-11-04 22:57:54,"-82.1003,154.6275",No Signal,Truck,4
VIO-000261,2025-10-13 23:45:30,"61.9932,-157.4381",Illegal Parking,Motorcycle,4
VIO-000262,2025-06-07 14:13:55,"-65.9254,13.9207",Speeding,Sedan,4
VIO-000263,2025-05-10 16:48:19,"-81.6419,0.0717",Illegal Parking,Sedan,4
VIO-000264,2025-07-25 20:02:04,"8.5831,74.7663",Illegal Turn,Truck,1
VIO-000265,2025-03-17 18:17:01,"41.1720,-7.5366",Speeding,Bus,2
VIO-000266,11/15/24 11:57,"-4.5740,-75.3119",Speeding,Truck,5
VIO-000267,09/28/25 22:49,"21.0584,133.8917",Red Light,Truck,4
VIO-000268,2025-04-30 04:23:41,"-1.9604,-174.9834",Speeding,Truck,5
VIO-000269,2025-01-04 14:48:50,"-1.4043,-146.9646",Illegal Parking,Bus,4
VIO-000270,2025-09-04 15:53:36,"-76.8294,21.5965",Illegal Parking,Bus,4
VIO-000271,2025-06-25 00:01:27,"-86.1910,-76.4935",Illegal Parking,Bus,1
VIO-000272,N/A,"-49.4229,11.8241",No Signal,Bus,5
VIO-000273,2025-04-10 10:22:19,"76.4337,170.0122",No Signal,Van,1
VIO-000274,2025-05-28 18:55:08,"8.3179,178.9941",Illegal Parking,Van,
VIO-000275,2024-12-26 14:19:29,"-65.2731,108.1844",Red Light,Van,1
VIO-000276,2024-11-15 18:28:50,,Illegal Turn,Bus,1
VIO-000277,2025-01-02 19:38:51,"49.8654,-159.5576",Red Light,Truck,5
VIO-000278,2025-07-07 08:34:28,"-15.2333,-71.2706",No Signal,Bus,3
VIO-000279,2024-12-24 17:49:53,"54.5631,-136.6164",No Signal,Motorcycle,1
VIO-000280,2025-03-26 16:38:42,"7.1554,66.5561",illegal parking,Bus,4
VIO-000281,12/05/24 04:09,"-20.1015,-39.4035",Speeding,Motorcycle,4
VIO-000282,2025-03-08 04:43:26,"-50.6882,-102.4608",Illegal Turn,Truck,
VIO-000283,2025-04-02 16:45:07,"-40.7383,-178.3347",Illegal Parking,Bus,5
VIO-000284,2025-07-08 19:56:10,"-76.5006,-111.1479",Illegal Turn,Motorcycle,2
VIO-000285,2025_05_13 01:35:32,"37.7349,154.2636",Illegal Turn,Sedan,2
VIO-000286,2025-10-15 09:07:22,"75.8386,-28.6338",Red Light,Motorcycle,
VIO-000287,2025-02-02 06:09:05,"21.1594,-5.4840",Red Light,Motorcycle,4
VIO-000288,2025-02-04 21:57:45,"35.8812,-1.7746",Illegal Parking,Bus,4
VIO-000289,2025-10-25 03:31:35,"-79.4373,-86.0668",Speeding,Truck,4
VIO-000290,2025-02-01 15:28:34,"-82.6342,130.2938",Speeding,Sedan,5
VIO-000291,2025-07-29 10:41:59,"81.8706,98.5595",Speeding,Sedan,5
VIO-000292,2025-09-19 16:10:10,"-7.1997,-45.2105",Red Light,Motorcycle,1
VIO-000293,2024-11-14 01:16:57,"29.5355,-161.9870",Speeding,Truck,2
VIO-000294,2025-06-02 17:50:56,"55.2473,-83.5262",Illegal Parking,Van,1
VIO-000295,2024-11-29 02:31:36,"-43.1332,162.8946",Red Light,Van,1
VIO-000296,2024-12-08 05:43:43,"-6.2753,-118.0375",No Signal,Bus,2
VIO-000297,2025-06-25 21:18:25,"-55.3199,10.0339",Speeding,Van,4
VIO-000298,2025-10-03 14:37:35,"74.2753,79.5390",Illegal Parking,Van,3
VIO-000299,2025-06-08 08:20:28,"7.5210,105.1933",Red Light,Truck,3
VIO-000300,2025-01-14 18:18:07,"-72.9323,-18.6224",Illegal Turn,Motorcycle,3
VIO-000301,2025-05-13 05:19:58,"-78.5082,-89.7820",No Signal,Motorcycle,3
VIO-000302,2025-07-21 04:15:26,"33.1987,-125.2688",Illegal Turn,Sedan,5
VIO-000303,2025-01-23 17:41:07,"34.5785,54.2444",Red Light,Motorcycle,1
VIO-000304,2025-04-18 04:03:13,"-79.5754,11.3037",Illegal Turn,Truck,4
VIO-000305,2025-07-19 07:33:31,"20.7888,-37.2136",Illegal Turn,Truck,5
VIO-000306,2025-09-05 21:32:27,"-80.7568,43.7090",Illegal Parking,Truck,2
VIO-000307,2025-07-15 08:39:42,"79.3167,-21.4702",Speeding,Bus,2
VIO-000308,2025-05-07 06:02:10,"-85.3645,38.1780",Illegal Parking,Sedan,3
VIO-000309,2025-01-08 09:37:48,"-17.5347,-80.6439",No Signal,Motorcycle,
VIO-000310,2024-12-16 17:12:25,"20.7141,111.2181",Illegal Parking,Truck,2
VIO-000311,2026-Oct-30 11:00:00,"-75.4435,60.7208",Red Light,Bus,2
VIO-000312,2025-02-27 15:51:41,"-9.9234,-61.7736",No Signal,Sedan,1
VIO-000313,2025-05-08 00:51:37,"-23.0270,19.9380",Speeding,Motorcycle,4
VIO-000314,2025-10-09 05:01:52,"-32.6039,-128.6820",Illegal Parking,Sedan,2
VIO-000315,2024-12-06 02:51:11,,Illegal Turn,Van,2
VIO-000316,2025-02-24 03:10:23,"49.1252,84.1499",red light,Van,4
