Violation ID,Timestamp,Location,Violation Type,Vehicle Type,Severity,Violation_Type_Code
VIO-000047,2025-01-29 08:25:42,"80.0534,-18.7387",ILLEGAL PARKING,Motorcycle,1.0,1
VIO-000048,2025-10-01 10:35:35,"44.1331,-90.7602",RED LIGHT,Truck,4.0,5
VIO-000049,2025-08-09 09:20:46,"-3.3295,-33.2855",ILLEGAL TURN,Sedan,2.0,4
VIO-000050,2025-02-10 00:36:12,"55.6597,67.6415",RED LIGHT,Motorcycle,1.0,5
VIO-000051,2025-01-13 07:32:15,"26.0842,-134.6107",ILLEGAL TURN,Truck,3.0,4
VIO-000052,2025-08-16 21:28:29,"-23.8341,20.5969",SPEEDING,Motorcycle,2.0,3
VIO-000053,2024-12-10 14:29:27,"22.0774,47.8466",ILLEGAL PARKING,Motorcycle,1.0,1
VIO-000054,2025-07-24 15:49:37,"-85.5364,-145.7609",NO SIGNAL,Bus,4.0,2
VIO-000055,2024-11-17 22:28:35,"-78.2113,-89.7824",ILLEGAL PARKING,Motorcycle,3.0,1
VIO-000057,2025-06-15 07:53:21,"-42.9538,-91.6205",RED LIGHT,Bus,5.0,5
VIO-000058,2025-04-13 14:25:09,"-50.1949,104.6560",RED LIGHT,Motorcycle,4.0,5
VIO-000060,2025-05-19 02:18:28,"-19.9235,170.6839",SPEEDING,Bus,4.0,3
VIO-000061,2026-10-30 11:00:00,"4.9212,39.5136",RED LIGHT,Van,1.0,5
VIO-000062,2025-03-08 01:22:41,"28.1426,-109.4283",ILLEGAL TURN,Motorcycle,4.0,4
VIO-000063,2025-07-10 18:55:17,"83.8661,-125.6534",ILLEGAL TURN,Motorcycle,5.0,4
VIO-000064,2025-08-18 10:37:31,"13.6611,-25.2373",ILLEGAL TURN,Sedan,3.0,4
VIO-000065,2024-10-29 20:16:31,"44.9844,-156.5037",ILLEGAL TURN,Motorcycle,4.0,4
VIO-000066,2024-11-18 22:31:15,"-79.9310,-126.7122",ILLEGAL TURN,Truck,2.0,4
VIO-000067,2025-03-25 08:08:17,"-32.4826,-110.1208",ILLEGAL PARKING,Bus,3.0,1
VIO-000069,2026-10-30 11:00:00,"-24.3976,-62.6851",ILLEGAL TURN,Van,2.0,4
VIO-000070,2025-07-15 10:15:22,"-10.1787,86.4923",NO SIGNAL,Sedan,2.0,2
VIO-000071,2025-03-07 22:57:58,"-59.6871,-63.1364",ILLEGAL PARKING,Sedan,3.0,1
VIO-000073,2025-03-07 06:53:12,"-72.6251,26.2438",RED LIGHT,Truck,1.0,5
VIO-000074,2026-10-30 11:00:00,"82.5776,72.2814",ILLEGAL TURN,Truck,5.0,4
VIO-000075,2025-05-31 16:19:22,"52.7507,-124.7612",ILLEGAL PARKING,Bus,1.0,1
VIO-000076,2025-02-01 00:19:03,"42.8612,-4.3799",NO SIGNAL,Motorcycle,1.0,2
VIO-000077,2025-08-27 02:48:26,"1.4753,-95.2108",RED LIGHT,Motorcycle,1.0,5
VIO-000079,2025-06-16 20:01:46,"72.4867,-51.0568",RED LIGHT,Motorcycle,2.0,5
VIO-000080,2025-08-30 01:54:04,"21.6796,88.9620",ILLEGAL PARKING,Bus,3.0,1
VIO-000081,2024-10-22 09:34:47,"-38.6428,-153.1131",NO SIGNAL,Bus,2.0,2
VIO-000082,2024-10-21 15:05:43,"49.2444,-3.8484",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000083,2025-05-19 05:10:01,"-50.3679,112.9594",RED LIGHT,Bus,4.0,5
VIO-000084,2025-01-26 05:36:40,"-79.0489,13.6399",ILLEGAL TURN,Van,1.0,4
VIO-000085,2025-02-15 16:58:04,"62.6177,20.5607",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000086,2025-09-13 18:47:45,"-18.7649,65.8849",SPEEDING,Truck,2.0,3
VIO-000087,2024-11-09 04:44:19,"-19.9798,43.7322",ILLEGAL PARKING,Truck,4.0,1
VIO-000089,2025-10-08 13:07:29,"-22.9849,61.9541",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000090,2025-08-26 04:33:58,"-51.6362,17.0827",NO SIGNAL,Van,2.0,2
VIO-000091,2026-10-30 11:00:00,"31.0791,-73.9267",ILLEGAL TURN,Motorcycle,4.0,4
VIO-000092,2025-03-17 14:26:39,"-5.7774,137.7616",RED LIGHT,Sedan,5.0,5
VIO-000093,2024-12-18 11:56:55,"83.2950,-34.6094",ILLEGAL TURN,Van,3.0,4
VIO-000094,2024-11-08 20:31:42,"10.5244,116.7984",RED LIGHT,Bus,5.0,5
VIO-000095,2025-09-21 08:19:24,"52.8701,106.4526",NO SIGNAL,Van,4.0,2
VIO-000096,2025-08-03 01:22:07,"80.8608,16.2488",ILLEGAL TURN,Bus,4.0,4
VIO-000098,2025-03-02 07:03:03,UNKNOWN,ILLEGAL TURN,Van,1.0,4
VIO-000099,2025-09-20 15:18:33,"-23.0391,9.3009",RED LIGHT,Bus,1.0,5
VIO-000101,2024-11-15 15:46:12,"-13.4909,143.4192",ILLEGAL TURN,Bus,5.0,4
VIO-000102,2025-09-30 02:34:38,"84.7955,114.9783",ILLEGAL PARKING,Sedan,2.0,1
VIO-000103,2025-02-22 11:59:03,"89.3336,-53.4223",RED LIGHT,Sedan,4.0,5
VIO-000104,2025-05-15 00:14:06,"-30.8499,-82.7666",ILLEGAL TURN,Sedan,4.0,4
VIO-000105,2025-09-21 10:23:58,"50.1237,-20.6073",SPEEDING,Truck,1.0,3
VIO-000106,2024-11-10 13:49:49,"70.7111,24.3465",NO SIGNAL,Sedan,4.0,2
VIO-000107,2025-03-15 03:01:25,UNKNOWN,SPEEDING,Bus,2.0,3
VIO-000108,2025-07-25 16:07:00,"68.8072,162.8141",NO SIGNAL,Sedan,4.0,2
VIO-000110,2025-10-08 22:35:13,UNKNOWN,NO SIGNAL,Motorcycle,1.0,2
VIO-000111,2025-04-05 13:58:05,"1.6742,-7.6069",NO SIGNAL,Van,3.0,2
VIO-000112,2025-01-22 09:56:36,"-71.0081,91.1327",RED LIGHT,Bus,1.0,5
VIO-000113,2025-09-25 23:02:53,"-23.4373,172.4949",SPEEDING,Bus,4.0,3
VIO-000114,2025-01-22 11:26:53,UNKNOWN,NO SIGNAL,Truck,5.0,2
VIO-000115,2025-06-20 01:38:12,"9.8049,-28.0061",ILLEGAL TURN,Sedan,4.0,4
VIO-000116,2025-08-30 13:30:39,"50.8210,-160.4042",NO SIGNAL,Sedan,1.0,2
VIO-000117,2024-12-05 07:28:31,"54.5584,-117.0782",NO SIGNAL,Sedan,5.0,2
VIO-000118,2024-11-20 06:32:03,"-29.2720,-16.9636",ILLEGAL PARKING,Motorcycle,4.0,1
VIO-000120,2025-08-17 17:03:19,"-50.6266,-121.7485",SPEEDING,Van,1.0,3
VIO-000121,2025-07-18 12:36:08,UNKNOWN,ILLEGAL PARKING,Truck,5.0,1
VIO-000122,2024-12-02 16:06:15,"-78.6553,20.6848",ILLEGAL TURN,Motorcycle,2.0,4
VIO-000123,2025-07-01 07:13:00,"-44.9067,18.8225",ILLEGAL PARKING,Sedan,4.0,1
VIO-000124,2024-10-29 14:25:19,"88.3043,-104.7413",NO SIGNAL,Motorcycle,2.0,2
VIO-000125,2024-11-19 05:01:47,"81.3860,55.3872",ILLEGAL TURN,Sedan,2.0,4
VIO-000126,2025-06-11 08:35:57,"47.4613,-8.0636",ILLEGAL TURN,Sedan,5.0,4
VIO-000127,2024-10-21 19:31:50,UNKNOWN,RED LIGHT,Bus,2.0,5
VIO-000128,2025-04-16 02:37:00,"45.5600,161.4763",NO SIGNAL,Motorcycle,5.0,2
VIO-000129,2024-11-10 19:07:56,"44.4070,-32.7057",ILLEGAL PARKING,Van,5.0,1
VIO-000130,2024-10-24 12:23:51,"-11.1090,-28.4465",SPEEDING,Sedan,1.0,3
VIO-000131,2025-07-02 18:29:06,"52.2965,8.0053",SPEEDING,Truck,4.0,3
VIO-000132,2025-08-28 09:04:05,"8.2907,85.2181",ILLEGAL PARKING,Sedan,5.0,1
VIO-000133,2025-08-24 05:40:06,UNKNOWN,RED LIGHT,Truck,3.0,5
VIO-000134,2025-07-22 05:59:03,"24.3394,-155.1717",RED LIGHT,Truck,5.0,5
VIO-000135,2025-02-12 20:32:29,"-74.0195,-148.6006",NO SIGNAL,Motorcycle,4.0,2
VIO-000136,2025-08-11 10:29:23,"61.1735,49.2111",RED LIGHT,Sedan,4.0,5
VIO-000137,2025-07-03 23:27:19,"-73.5322,107.1500",ILLEGAL PARKING,Motorcycle,5.0,1
VIO-000138,2025-06-05 23:19:25,"-19.2862,35.3745",ILLEGAL TURN,Truck,3.0,4
VIO-000139,2025-08-27 15:16:11,"-25.3916,-61.1685",NO SIGNAL,Truck,5.0,2
VIO-000141,2025-01-19 18:17:08,"17.1924,-115.0050",ILLEGAL TURN,Van,1.0,4
VIO-000142,2025-05-11 04:24:51,"-21.3723,-6.6294",NO SIGNAL,Van,3.0,2
VIO-000143,2025-07-13 11:29:44,"43.0263,-144.2937",ILLEGAL PARKING,Van,3.0,1
VIO-000144,2024-12-15 16:48:09,"5.7486,87.7894",RED LIGHT,Van,3.0,5
VIO-000145,2025-06-10 22:17:40,UNKNOWN,ILLEGAL TURN,Truck,5.0,4
VIO-000146,2025-08-22 16:23:44,"54.8794,-109.8820",SPEEDING,Bus,5.0,3
VIO-000147,2026-10-30 11:00:00,"1.3532,-73.9958",ILLEGAL PARKING,Motorcycle,4.0,1
VIO-000148,2024-12-03 23:49:26,"78.1357,27.1114",RED LIGHT,Sedan,3.0,5
VIO-000149,2024-10-19 03:24:36,"-51.0224,-105.6007",ILLEGAL PARKING,Bus,4.0,1
VIO-000150,2025-07-04 01:23:05,UNKNOWN,RED LIGHT,Sedan,2.0,5
VIO-000151,2025-04-17 02:17:19,"40.8634,-100.7420",ILLEGAL TURN,Truck,2.0,4
VIO-000152,2025-09-22 09:43:56,"-54.8817,-142.9682",ILLEGAL TURN,Motorcycle,5.0,4
VIO-000153,2024-12-29 08:11:06,"-25.8005,163.9227",RED LIGHT,Sedan,5.0,5
VIO-000154,2024-11-29 21:28:19,"62.7374,6.5902",ILLEGAL TURN,Bus,2.0,4
VIO-000155,2025-10-10 09:05:29,"-69.7307,-106.2623",ILLEGAL PARKING,Motorcycle,1.0,1
VIO-000156,2025-10-06 08:46:39,"74.6070,-0.0099",ILLEGAL TURN,Sedan,1.0,4
VIO-000157,2025-01-15 10:00:02,"22.9491,-136.4772",NO SIGNAL,Bus,4.0,2
VIO-000158,2024-11-04 22:00:57,"79.9606,84.2624",RED LIGHT,Bus,2.0,5
VIO-000159,2025-04-12 14:51:49,"-64.1833,129.7926",SPEEDING,Truck,3.0,3
VIO-000160,2025-08-13 17:25:49,"71.7855,4.1157",RED LIGHT,Motorcycle,4.0,5
VIO-000161,2025-04-04 17:03:41,"-48.2905,26.9913",RED LIGHT,Motorcycle,1.0,5
VIO-000162,2024-12-10 09:20:35,"42.5824,59.5897",SPEEDING,Truck,1.0,3
VIO-000163,2025-08-27 10:39:17,"8.6643,-70.9907",SPEEDING,Truck,1.0,3
VIO-000164,2025-05-10 01:45:46,"25.2158,-21.0095",NO SIGNAL,Sedan,3.0,2
VIO-000165,2024-12-04 08:52:16,"20.9105,94.2989",ILLEGAL PARKING,Van,2.0,1
VIO-000166,2025-08-26 22:12:27,"11.8591,-130.5072",RED LIGHT,Sedan,3.0,5
VIO-000169,2025-08-17 12:18:42,"-76.9621,141.6624",SPEEDING,Truck,3.0,3
VIO-000170,2025-06-08 05:14:54,"-73.7355,31.7536",ILLEGAL PARKING,Truck,4.0,1
VIO-000171,2025-09-06 09:56:53,"34.2180,151.8854",NO SIGNAL,Motorcycle,3.0,2
VIO-000172,2025-06-24 19:45:50,"-55.2637,27.3961",ILLEGAL PARKING,Motorcycle,2.0,1
VIO-000173,2025-06-22 00:24:17,"-66.4418,-44.6687",SPEEDING,Truck,5.0,3
VIO-000174,2024-11-15 02:43:35,"-5.3692,4.9312",NO SIGNAL,Van,5.0,2
VIO-000175,2025-07-21 01:19:41,"68.9042,-146.4701",ILLEGAL TURN,Sedan,1.0,4
VIO-000176,2025-10-03 21:03:40,"-28.0497,98.5959",ILLEGAL PARKING,Van,5.0,1
VIO-000177,2025-03-29 11:42:35,"-41.8632,-157.2523",ILLEGAL TURN,Truck,4.0,4
VIO-000178,2024-12-14 20:30:00,"81.2567,0.1843",NO SIGNAL,Van,3.0,2
VIO-000180,2025-08-11 14:08:55,"39.3255,130.3193",RED LIGHT,Motorcycle,4.0,5
VIO-000181,2024-12-11 22:45:09,"21.0833,34.7061",RED LIGHT,Sedan,3.0,5
VIO-000183,2024-12-15 06:38:52,"-59.6587,107.3813",RED LIGHT,Sedan,1.0,5
VIO-000184,2025-09-18 15:40:22,"32.2522,108.5745",ILLEGAL PARKING,Van,5.0,1
VIO-000185,2026-10-30 11:00:00,"62.5000,-24.7029",ILLEGAL TURN,Bus,4.0,4
VIO-000186,2025-10-01 06:28:29,"51.8895,6.1532",ILLEGAL PARKING,Sedan,3.0,1
VIO-000187,2025-03-16 12:58:23,"-71.9439,27.7138",SPEEDING,Bus,2.0,3
VIO-000188,2024-12-30 17:10:42,"17.4744,33.1967",ILLEGAL TURN,Bus,2.0,4
VIO-000189,2025-02-14 11:41:32,"-36.7814,-165.6621",ILLEGAL TURN,Bus,2.0,4
VIO-000190,2025-09-08 17:21:53,"-65.9178,43.1143",ILLEGAL PARKING,Van,3.0,1
VIO-000191,2024-11-30 12:26:43,"76.9227,41.8498",SPEEDING,Truck,4.0,3
VIO-000192,2024-10-27 05:06:29,"-51.8602,19.2115",NO SIGNAL,Truck,1.0,2
VIO-000193,2024-12-31 04:28:48,"-14.4350,-154.8286",SPEEDING,Truck,4.0,3
VIO-000194,2025-08-13 22:43:10,"-46.1678,-166.2305",SPEEDING,Sedan,3.0,3
VIO-000195,2025-01-17 04:22:55,"38.1925,75.8469",NO SIGNAL,Van,2.0,2
VIO-000196,2025-08-27 06:40:56,"-12.8547,99.8884",RED LIGHT,Sedan,3.0,5
VIO-000197,2025-01-28 08:53:02,"-2.7886,-10.1268",ILLEGAL PARKING,Truck,2.0,1
VIO-000200,2025-09-03 12:12:49,"10.9163,-176.3022",SPEEDING,Truck,2.0,3
VIO-000201,2025-02-10 19:49:38,"27.9723,-162.5660",SPEEDING,Motorcycle,4.0,3
VIO-000203,2025-09-25 05:39:15,"-11.7426,19.2959",NO SIGNAL,Van,5.0,2
VIO-000204,2025-10-07 19:59:28,"78.3809,51.7204",ILLEGAL PARKING,Truck,5.0,1
VIO-000205,2025-02-22 18:52:54,"4.4596,-159.7816",SPEEDING,Motorcycle,3.0,3
VIO-000206,2024-10-25 23:56:05,"38.1373,22.0381",SPEEDING,Bus,2.0,3
VIO-000207,2025-06-12 20:27:33,"-47.5227,-21.8965",SPEEDING,Truck,3.0,3
VIO-000208,2025-03-23 21:23:15,"6.9213,-48.5153",SPEEDING,Truck,1.0,3
VIO-000209,2025-09-29 03:28:27,"-84.1682,26.3209",ILLEGAL PARKING,Truck,5.0,1
VIO-000211,2025-07-26 09:10:42,"62.4908,-118.6092",ILLEGAL TURN,Truck,4.0,4
VIO-000212,2025-03-31 08:36:11,"-86.0302,-55.5958",ILLEGAL PARKING,Motorcycle,3.0,1
VIO-000213,2025-06-01 15:03:49,"5.0427,174.2694",ILLEGAL TURN,Truck,2.0,4
VIO-000214,2025-04-02 03:21:44,"21.0015,-21.2036",NO SIGNAL,Motorcycle,2.0,2
VIO-000215,2025-08-28 10:38:06,"-86.8797,177.1545",RED LIGHT,Sedan,1.0,5
VIO-000216,2025-10-11 20:24:09,"86.8219,49.2778",NO SIGNAL,Motorcycle,1.0,2
VIO-000217,2025-10-01 13:33:08,"23.4202,-164.8081",NO SIGNAL,Truck,1.0,2
VIO-000218,2025-05-11 00:07:28,"-65.5980,-71.2767",SPEEDING,Truck,3.0,3
VIO-000219,2025-04-30 08:44:03,"44.9394,-111.7675",NO SIGNAL,Bus,5.0,2
VIO-000220,2024-12-02 13:11:07,"70.9163,157.5616",SPEEDING,Motorcycle,1.0,3
VIO-000221,2024-12-26 07:10:00,"-51.7584,27.6465",ILLEGAL PARKING,Van,2.0,1
VIO-000222,2025-05-30 00:13:46,"3.2779,-139.8984",SPEEDING,Sedan,2.0,3
VIO-000223,2025-05-22 22:58:23,"61.7545,-5.1186",RED LIGHT,Truck,3.0,5
VIO-000224,2025-09-15 05:35:48,UNKNOWN,ILLEGAL TURN,Truck,1.0,4
VIO-000227,2025-07-25 18:18:21,"-89.8300,33.4120",NO SIGNAL,Bus,4.0,2
VIO-000228,2025-09-29 14:04:23,"-33.7895,98.4730",ILLEGAL PARKING,Truck,5.0,1
VIO-000229,2024-12-10 05:15:32,"-68.8373,63.1331",ILLEGAL TURN,Truck,3.0,4
VIO-000230,2024-10-24 02:39:31,"87.6718,114.9752",SPEEDING,Truck,3.0,3
VIO-000231,2024-10-25 20:11:51,"-51.9355,120.1836",ILLEGAL PARKING,Bus,1.0,1
VIO-000233,2025-05-09 11:53:33,"54.9349,25.9050",SPEEDING,Bus,5.0,3
VIO-000234,2025-10-17 13:46:16,"-14.2380,-86.9149",SPEEDING,Motorcycle,5.0,3
VIO-000235,2025-04-30 02:54:33,"89.8550,-121.7465",ILLEGAL PARKING,Truck,5.0,1
VIO-000236,2025-03-14 12:12:44,"-82.7996,150.9863",RED LIGHT,Motorcycle,5.0,5
VIO-000237,2025-04-21 21:01:44,"38.6782,171.1704",ILLEGAL PARKING,Van,2.0,1
VIO-000238,2025-08-13 12:40:46,"-88.9717,-100.2445",ILLEGAL PARKING,Motorcycle,3.0,1
VIO-000239,2024-12-24 22:52:47,"66.0667,-137.3573",SPEEDING,Van,1.0,3
VIO-000240,2025-09-01 18:23:23,"-70.4934,-148.1579",ILLEGAL TURN,Sedan,1.0,4
VIO-000241,2025-06-05 17:42:53,"23.5230,-144.5069",SPEEDING,Bus,5.0,3
VIO-000242,2024-12-28 04:50:39,"44.3775,-74.4238",ILLEGAL PARKING,Sedan,5.0,1
VIO-000245,2024-12-19 06:14:38,"84.1576,-108.9101",RED LIGHT,Motorcycle,5.0,5
VIO-000246,2024-11-21 13:04:42,"-11.1216,-130.5318",NO SIGNAL,Van,5.0,2
VIO-000247,2025-02-25 10:12:14,UNKNOWN,ILLEGAL TURN,Truck,5.0,4
VIO-000248,2025-05-31 10:13:07,"-50.7941,2.0828",RED LIGHT,Bus,4.0,5
VIO-000249,2025-10-03 20:24:31,"32.7650,-68.9044",ILLEGAL TURN,Truck,5.0,4
VIO-000250,2024-11-01 21:44:06,"87.9685,-122.4900",ILLEGAL TURN,Sedan,5.0,4
VIO-000251,2025-08-27 04:19:52,"-0.0961,176.7062",NO SIGNAL,Van,5.0,2
VIO-000252,2024-10-28 04:18:39,"-86.4903,145.3724",ILLEGAL TURN,Bus,2.0,4
VIO-000253,2025-08-31 04:33:03,UNKNOWN,SPEEDING,Truck,3.0,3
VIO-000254,2025-02-02 23:08:18,"-12.4310,9.3888",SPEEDING,Motorcycle,3.0,3
VIO-000255,2025-04-12 14:11:06,"-8.4850,162.9474",ILLEGAL TURN,Truck,2.0,4
VIO-000256,2025-01-28 16:17:08,"-75.1651,-31.5498",ILLEGAL TURN,Truck,3.0,4
VIO-000257,2025-04-02 09:52:13,"30.8304,173.7337",ILLEGAL PARKING,Motorcycle,4.0,1
VIO-000259,2025-04-27 22:19:29,"6.9018,-133.6645",ILLEGAL TURN,Sedan,1.0,4
VIO-000260,2024-12-05 02:46:58,"46.9381,-122.7395",ILLEGAL TURN,Motorcycle,2.0,4
VIO-000261,2025-07-15 12:29:24,"-76.1314,-175.3441",SPEEDING,Motorcycle,5.0,3
VIO-000262,2024-10-22 22:04:30,"47.4474,173.7194",ILLEGAL TURN,Motorcycle,3.0,4
VIO-000263,2025-01-17 14:54:32,"54.0672,119.5084",NO SIGNAL,Motorcycle,1.0,2
VIO-000264,2025-04-26 01:23:15,"-67.2727,-108.7382",SPEEDING,Truck,2.0,3
VIO-000266,2025-07-19 16:03:48,"-45.4468,-88.3260",NO SIGNAL,Sedan,2.0,2
VIO-000267,2024-12-20 02:41:42,"-59.5054,-76.6995",ILLEGAL TURN,Van,4.0,4
VIO-000268,2025-07-20 13:59:27,"-0.8486,-48.9660",ILLEGAL TURN,Motorcycle,5.0,4
VIO-000269,2025-05-29 01:25:13,"2.8526,-89.3787",ILLEGAL PARKING,Bus,1.0,1
VIO-000270,2025-03-24 03:00:21,"-47.2432,116.8727",NO SIGNAL,Motorcycle,2.0,2
VIO-000272,2024-10-20 22:40:35,"70.9358,-127.8842",ILLEGAL TURN,Van,1.0,4
VIO-000273,2025-07-25 09:15:20,"-11.6449,155.4711",RED LIGHT,Bus,2.0,5
VIO-000275,2024-11-28 17:51:29,"71.0177,93.2119",SPEEDING,Truck,4.0,3
VIO-000276,2025-01-31 21:58:27,"-10.9260,75.7484",SPEEDING,Van,5.0,3
VIO-000277,2025-06-30 00:07:03,"-64.3552,70.6727",ILLEGAL TURN,Van,1.0,4
VIO-000278,2026-10-30 11:00:00,"-52.9330,-42.0780",SPEEDING,Bus,1.0,3
VIO-000279,2025-07-09 13:22:56,"40.3378,178.2019",ILLEGAL TURN,Bus,3.0,4
VIO-000280,2025-08-17 23:31:51,"62.1247,-71.3757",SPEEDING,Motorcycle,4.0,3
VIO-000281,2025-02-12 07:17:53,"58.0549,23.0227",SPEEDING,Van,1.0,3
VIO-000282,2025-06-08 16:09:15,"13.7093,118.8059",NO SIGNAL,Truck,1.0,2
VIO-000284,2025-08-02 19:51:58,"-59.0411,176.9729",RED LIGHT,Sedan,3.0,5
VIO-000285,2025-03-23 06:23:07,"72.4540,68.6786",NO SIGNAL,Bus,5.0,2
VIO-000286,2025-01-15 11:13:51,"-45.4693,-37.7395",ILLEGAL TURN,Bus,4.0,4
VIO-000287,2025-10-16 15:24:54,"-56.2209,-142.6171",SPEEDING,Van,2.0,3
VIO-000288,2025-05-17 14:42:39,"10.9776,-16.2056",ILLEGAL TURN,Motorcycle,4.0,4
VIO-000289,2025-03-19 22:39:50,"-59.6987,-24.5271",SPEEDING,Truck,1.0,3
VIO-000290,2025-01-13 09:37:20,"-55.8358,107.4214",RED LIGHT,Motorcycle,4.0,5
VIO-000291,2025-06-03 09:10:24,"-65.2551,86.0060",RED LIGHT,Bus,3.0,5
VIO-000292,2024-06-11 10:56:02,"-87.0118,48.6794",SPEEDING,Sedan,5.0,3
VIO-000293,2025-09-16 05:11:07,"51.9733,76.0963",NO SIGNAL,Van,3.0,2
VIO-000294,2025-02-13 11:30:24,"-11.4581,-0.7090",ILLEGAL TURN,Truck,3.0,4
VIO-000295,2025-10-13 00:10:55,"-26.4286,61.1489",NO SIGNAL,Truck,1.0,2
VIO-000297,2025-09-12 17:26:44,"-15.5454,41.4588",ILLEGAL TURN,Motorcycle,5.0,4
VIO-000299,2025-07-22 09:18:30,"89.6031,150.6893",RED LIGHT,Motorcycle,5.0,5
VIO-000301,2025-04-16 23:22:02,"44.3241,12.1745",RED LIGHT,Motorcycle,2.0,5
VIO-000302,2025-06-11 04:06:06,"77.5966,121.6527",NO SIGNAL,Bus,3.0,2
VIO-000303,2025-06-12 01:49:07,"-17.6264,-94.6450",SPEEDING,Bus,2.0,3
VIO-000304,2025-04-24 06:53:49,"88.0085,127.3854",SPEEDING,Motorcycle,1.0,3
VIO-000305,2025-09-24 11:46:12,"-58.6297,-1.1041",NO SIGNAL,Motorcycle,3.0,2
