Location,Total_Violations,Avg_Severity
"-53.9554,-134.3690",1,5.0
"13.1347,-107.0469",1,1.0
"-31.4343,-133.9350",1,2.0
"-35.6237,105.7793",1,3.0
"46.3178,118.7675",1,4.0
"4.9093,161.8304",1,5.0
"-50.2047,-106.6480",1,1.0
"-40.5475,-133.3359",1,5.0
"-67.6383,99.1701",1,4.0
"-3.7336,117.2527",1,2.0
"4.2529,120.6083",1,5.0
"47.6685,-162.5613",1,2.0
"-73.1385,84.8015",1,3.0
"69.9405,-10.9342",1,2.0
"-24.6974,-151.2232",1,1.0
"-77.1720,-151.1578",1,1.0
"-8.5630,163.2165",1,1.0
"-88.6902,-160.3580",1,5.0
"-7.3887,156.3419",1,4.0
"80.6617,26.8632",1,1.0
"-26.5768,-70.5506",1,5.0
"-81.8568,-7.1438",1,
"-68.7598,94.6493",1,
"48.9085,-12.3730",1,3.0
"85.4427,-166.7525",1,
"11.4394,-63.7506",1,4.0
"25.7158,-137.1563",1,1.0
"-2.9540,-48.8217",1,5.0
"-46.0351,-10.1198",1,4.0
"-23.5458,34.5283",1,2.0
"-45.2166,-116.7505",1,4.0
"0.2841,-43.9626",1,5.0
"72.4689,151.7585",1,5.0
"23.0052,-90.2337",1,1.0
"-20.1156,-10.8011",1,4.0
"-29.0769,23.4989",1,2.0
"-83.1942,-146.1236",1,3.0
"1.0402,-96.6631",1,5.0
"73.2318,139.6686",1,5.0
"58.6875,132.8355",1,
"-72.9912,2.9120",1,4.0
"18.8361,131.0505",1,4.0
"2.1260,-117.1148",1,5.0
"54.5820,117.8077",1,3.0
"-79.9035,-143.5641",1,2.0
"-10.9767,153.9237",1,3.0
"-18.0172,-179.1606",1,3.0
"81.3118,140.9629",1,4.0
"-67.4732,21.6456",1,3.0
"-10.4001,131.6178",1,5.0
"-42.6055,-98.2096",1,5.0
"-27.3589,175.8128",1,4.0
"-72.5820,60.0654",1,2.0
"76.3990,-114.5891",1,4.0
"-75.4641,56.0206",1,2.0
"56.5885,-129.3372",1,2.0
"75.5870,-60.6546",1,4.0
"36.7236,-161.3108",1,1.0
"32.1207,-39.4501",1,1.0
"-17.5188,-26.7633",1,
"58.1235,-174.0379",1,3.0
"2.6306,167.5176",1,3.0
"47.0444,143.7377",1,2.0
"-18.2584,173.3258",1,1.0
"83.9663,93.5601",1,2.0
"-16.3041,9.5080",1,2.0
"-7.9368,-131.5692",1,3.0
"63.8622,-137.6336",1,2.0
"-54.4591,-29.8633",1,1.0
"-21.1458,-105.4507",1,4.0
"47.8083,-170.8797",1,
"-38.2520,-49.7714",1,1.0
"83.6401,159.2042",1,4.0
"-12.3389,-63.1845",1,
"-67.7081,11.2975",1,5.0
"1.8551,-126.1165",1,
"72.0826,107.4852",1,3.0
"2.5375,111.5977",1,1.0
"-19.8752,161.5185",1,3.0
"-45.1703,-102.1319",1,1.0
"-73.7085,-179.3534",1,3.0
"-37.4280,92.1627",1,2.0
"55.6854,-38.4062",1,5.0
"-41.5552,99.6042",1,3.0
"-47.3003,-157.4932",1,4.0
"18.5135,118.1764",1,4.0
"-45.1527,61.5961",1,2.0
"39.8145,-94.5015",1,4.0
"-40.5415,-129.7440",1,4.0
"-75.6162,99.9570",1,4.0
"-62.2532,26.4891",1,3.0
"8.5071,76.8749",1,4.0
"-12.8720,-126.0374",1,5.0
"28.8604,-51.2131",1,3.0
"-2.3374,166.8080",1,
"-70.4287,-107.2009",1,2.0
"-70.6127,101.4301",1,
"26.1676,-121.7408",1,2.0
"-73.7025,93.0472",1,2.0
"-36.1617,-10.8851",1,2.0
"-19.5455,154.2908",1,5.0
"-77.4315,62.7986",1,1.0
"-28.8312,-90.4757",1,4.0
"88.6159,-76.3424",1,3.0
"-28.6528,-77.3501",1,4.0
"30.4797,30.3358",1,4.0
"-22.6699,5.2232",1,5.0
"-36.2495,131.7791",1,4.0
"39.5438,-59.8580",1,5.0
"-39.2262,97.7839",1,5.0
"84.7082,-39.2958",1,4.0
"-56.2568,10.9388",1,2.0
"47.9919,147.5958",1,
"-88.3602,-152.5138",1,4.0
"77.6467,-135.5542",1,3.0
"43.0475,-146.3515",1,2.0
"31.6314,48.2815",1,1.0
"46.1508,-76.0014",1,2.0
"63.0154,-42.0314",1,2.0
"-59.7432,-88.0328",1,1.0
"54.9468,164.5981",1,1.0
"-6.5455,124.4168",1,
"1.8024,98.5204",1,1.0
"-26.1556,-174.2044",1,4.0
"61.3568,27.4380",1,
"-25.6014,-150.7630",1,5.0
"49.9553,163.4606",1,4.0
"15.6252,18.8695",1,1.0
"-72.2831,74.9788",1,
"49.5829,-6.1176",1,1.0
"-62.8088,125.4739",1,5.0
"24.8063,-27.1972",1,3.0
"5.9352,-41.4656",1,1.0
"-8.9892,-51.7646",1,4.0
"76.8063,162.9921",1,
"-23.4266,63.3584",1,2.0
"9.5193,-166.9153",1,1.0
"69.2906,178.6217",1,5.0
"-24.2901,-72.0345",1,1.0
"-18.2114,50.4459",1,5.0
"21.0707,93.3546",1,1.0
"-77.0053,-72.3728",1,2.0
"67.5182,137.2482",1,3.0
"50.9907,70.7223",1,5.0
"-13.7887,8.9618",1,2.0
"-1.6350,-140.8641",1,1.0
"61.4683,73.0620",1,3.0
"-47.9636,-123.1435",1,3.0
"-41.5637,81.9743",1,1.0
"-16.7641,6.7445",1,3.0
"-49.5048,19.3071",1,1.0
"59.0113,-32.1140",1,2.0
"-8.2107,158.8602",1,1.0
"-15.0872,-55.9409",1,
"-21.5399,141.5062",1,5.0
"-6.8438,-178.7134",1,3.0
"21.7564,10.0355",1,3.0
"-1.7168,-9.1388",1,3.0
"46.5780,-120.4590",1,3.0
"-62.4972,62.8544",1,2.0
"-42.3967,-176.6261",1,4.0
"-44.5489,148.0371",1,4.0
"13.3096,-42.8772",1,5.0
"75.5079,-13.2348",1,1.0
"33.7903,35.1252",1,5.0
"-34.3197,59.7510",1,2.0
"74.6456,115.1600",1,1.0
"-43.1978,15.1887",1,
"82.7795,51.1433",1,5.0
"42.5674,28.8046",1,1.0
"-31.5759,-48.8694",1,2.0
"34.1079,66.3323",1,5.0
"-62.1843,36.4507",1,3.0
"-6.7851,-96.6526",1,5.0
"42.8100,65.6135",1,3.0
"65.7947,-137.4134",1,2.0
"-31.8414,-117.1145",1,2.0
"-78.9523,126.7374",1,2.0
"-7.5148,2.4133",1,5.0
"56.6183,70.2922",1,3.0
"-39.4102,-24.9623",1,2.0
"-46.1306,60.9753",1,2.0
"53.7160,63.7215",1,1.0
"4.5193,-67.3513",1,1.0
"48.5593,131.7286",1,1.0
"-0.4530,172.3246",1,2.0
"51.6969,-177.6856",1,1.0
"71.9989,-59.9647",1,5.0
"21.0380,-139.5365",1,5.0
"37.0426,41.7462",1,4.0
"9.0237,104.1296",1,4.0
"54.6932,153.0872",1,5.0
"76.8464,77.3083",1,3.0
"-21.6845,169.5167",1,4.0
"47.5686,-106.0773",1,5.0
"-5.7188,-146.0994",1,2.0
"-40.1958,-58.1979",1,2.0
"8.5155,26.5209",1,5.0
"-61.0834,-174.4010",1,4.0
"45.0958,132.2297",1,3.0
"-5.8087,-38.4209",1,1.0
"-22.5684,55.4577",1,3.0
"44.9724,10.4670",1,1.0
"-85.3994,45.4513",1,3.0
"-15.7925,66.3028",1,2.0
"79.6437,-98.5623",1,
"-9.7011,-65.1218",1,4.0
"52.3091,-89.2820",1,1.0
"-59.8128,171.6433",1,5.0
"49.8588,-151.6365",1,5.0
"-8.8708,-98.4241",1,4.0
"-57.7896,130.2946",1,1.0
"-8.9388,-166.0429",1,2.0
"83.1910,119.5004",1,2.0
"-9.6584,49.5826",1,2.0
"51.3281,-8.3142",1,4.0
"16.2279,86.2037",1,1.0
"39.3515,63.8561",1,
"-70.0087,-5.1308",1,1.0
"-53.9120,-76.1955",1,2.0
"-43.9848,-65.3873",1,1.0
"-26.5567,-86.0976",1,1.0
"18.2893,-153.0764",1,2.0
"27.6947,-120.2782",1,1.0
"78.6629,-103.1806",1,4.0
"-68.2188,-10.8018",1,5.0
"-63.8682,118.0130",1,1.0
"83.8289,64.6607",1,5.0
"-62.3327,-160.4309",1,1.0
"-40.8146,20.0602",1,4.0
"66.3464,71.2943",1,3.0
"23.3976,-111.6668",1,1.0
"14.5595,-78.2160",1,5.0
"18.4672,-96.4990",1,1.0
"42.8716,-17.1369",1,2.0
"-28.7160,-97.7933",1,1.0
"-71.3175,-112.8224",1,5.0
"2.2321,7.2862",1,3.0
"69.3082,-51.7260",1,5.0
"27.8835,11.4895",1,3.0
"12.4109,1.3386",1,2.0
"-85.9368,-117.4624",1,2.0
"-52.8852,-106.9989",1,3.0
"-37.0859,-48.4217",1,4.0
"-62.8313,-76.3904",1,
"-84.4511,-57.8544",1,2.0
"62.7943,-165.3251",1,1.0
"-67.7996,-33.2810",1,1.0
"-24.8238,18.9958",1,2.0
"5.0970,39.7599",1,2.0
"-17.4137,159.5242",1,1.0
"74.4107,-60.3196",1,3.0
"73.4386,89.9141",1,3.0
"-28.0271,-41.9246",1,5.0
"-39.9378,-81.3452",1,1.0
"-89.4152,41.1160",1,1.0
"-75.8265,42.2930",1,3.0
"-83.8672,54.9859",1,2.0
"22.6488,103.8097",1,2.0
"59.5289,-146.6695",1,4.0
"31.3353,59.4381",1,1.0
"44.3407,163.7126",1,2.0
"50.2878,161.4288",1,4.0
"-5.1281,-172.4453",1,2.0
"31.1435,136.6053",1,1.0
"59.2464,8.9112",1,5.0
"50.0313,-71.8714",1,1.0
"35.2360,-79.9704",1,2.0
"36.1455,-18.1055",1,5.0
"-84.5671,38.0822",1,4.0
"-78.0055,37.3211",1,1.0
"-14.6622,14.5779",1,1.0
"8.8548,-80.8557",1,5.0
"4.1518,-10.8586",1,3.0
"-12.2420,47.3032",1,1.0
"-81.7606,122.9066",1,5.0
"81.8921,-39.8573",1,5.0
"-46.5189,-69.4919",1,2.0
"83.6931,152.1913",1,5.0
"39.6667,146.1344",1,4.0
"39.4813,-32.8668",1,3.0
"-26.4151,133.1330",1,1.0
"-52.0991,30.5395",1,5.0
"17.7573,111.3365",1,1.0
"74.9013,64.4282",1,5.0
"-89.2258,55.4651",1,2.0
"-47.8032,-178.3288",1,2.0
"-73.9460,173.6335",1,1.0
"-83.1017,-121.6395",1,1.0
"-59.9754,-124.5599",1,4.0
"-71.5118,-34.2188",1,1.0
"55.4763,174.7201",1,3.0
"44.1689,174.4191",1,5.0
"-79.7804,22.7104",1,4.0
"-18.7819,-152.4543",1,
"72.7927,-74.6499",1,4.0
"-76.3627,22.5679",1,1.0
"33.4483,-95.0424",1,1.0
"41.2679,-147.5672",1,4.0
"20.9170,-164.9343",1,3.0
"-66.4332,-68.1666",1,3.0
"6.1748,-33.3878",1,4.0
"31.0540,45.3134",1,4.0
"69.1071,-94.7979",1,5.0
"78.6417,85.8062",1,2.0
"-23.7710,-139.4577",1,5.0
"74.1253,28.6878",1,3.0
"13.3377,113.5134",1,5.0
"-68.2466,-158.2265",1,4.0
"-1.3220,20.6952",1,1.0
"-57.5921,-170.4716",1,2.0
"57.5680,163.5098",1,1.0
"79.0840,-112.6325",1,1.0
"78.9143,155.9765",1,1.0
"-64.5422,-152.6222",1,4.0
"83.4548,-90.0632",1,3.0
"-76.1840,149.7611",1,2.0
"-61.2826,-133.8871",1,5.0
"10.0388,-21.1582",1,2.0
"17.3957,74.5326",1,1.0
"70.8938,-104.8553",1,4.0
"12.1273,-57.4039",1,1.0
"85.1668,-83.9258",1,3.0
"-54.4749,-69.9060",1,3.0
"5.0685,179.3111",1,1.0
"76.6287,14.4998",1,2.0
"-69.6509,-142.4569",1,5.0
"87.5321,-112.5107",1,2.0
"-72.0879,-24.3130",1,5.0
"-49.8948,110.7402",1,5.0
"-81.4536,155.8328",1,3.0
"-86.0035,35.9458",1,1.0
"52.4005,110.4761",1,2.0
"13.9699,151.9335",1,2.0
"-52.2203,67.2699",1,4.0
"89.3826,128.9753",1,4.0
"-0.0140,-127.8848",1,5.0
"-24.0226,-113.0468",1,3.0
"-80.4526,74.0987",1,4.0
"-36.9197,119.2317",1,2.0
"-79.1855,-153.5161",1,4.0
"77.7142,79.3666",1,1.0
"-61.0804,157.3836",1,
"-20.7813,132.8789",1,2.0
"19.9341,100.4097",1,4.0
"-85.3187,-143.8226",1,1.0
"-7.3654,-51.8556",1,5.0
"-85.7504,170.0954",1,5.0
"61.7078,110.8432",1,4.0
"-32.7356,16.5171",1,5.0
"17.0529,153.1398",1,4.0
"30.9799,46.7279",1,
"-48.7334,-86.0054",1,3.0
"46.9765,-151.6975",1,1.0
"38.8827,-151.4142",1,3.0
"4.8509,-72.8786",1,5.0
"-38.0685,30.7377",1,3.0
"-63.0183,5.0752",1,5.0
"79.4670,-145.8402",1,4.0
"58.0033,51.0484",1,1.0
"17.5848,-146.6183",1,3.0
"-38.4541,-37.8741",1,
"39.0937,-42.1608",1,3.0
"63.6777,-57.2856",1,3.0
"-85.2057,156.6360",1,1.0
"0.4858,-96.6604",1,4.0
"-80.7953,-115.0408",1,1.0
"-74.8865,-129.2808",1,2.0
"-18.0251,-68.8421",1,5.0
"-74.3070,59.5610",1,5.0
"-39.1429,134.6344",1,2.0
"2.4333,-13.7328",1,5.0
"37.8216,-120.4408",1,3.0
"-15.4499,-53.9036",1,5.0
"11.3447,-58.2104",1,1.0
"-16.0831,171.0475",1,5.0
"-20.3173,23.8277",1,3.0
"16.3553,132.1574",1,2.0
"-23.3458,65.5524",1,5.0
"66.3067,157.1785",1,5.0
"55.5715,63.4747",1,2.0
"-48.1515,-1.5913",1,4.0
"55.7357,-88.5891",1,5.0
"19.9648,161.9812",1,5.0
"-85.6336,175.3292",1,4.0
"-57.0813,13.7352",1,2.0
"57.0076,-138.6955",1,1.0
"32.2328,89.7506",1,5.0
"49.3465,-65.9770",1,3.0
"86.9419,24.4569",1,2.0
"-17.2134,-130.3661",1,5.0
"87.4949,-71.7829",1,2.0
"-5.8981,-147.1915",1,1.0
"-70.4137,-134.6306",1,
"-60.6906,-30.8105",1,4.0
"-41.7873,-84.5989",1,5.0
"-67.3015,-174.4582",1,5.0
"30.3868,179.1026",1,5.0
"-86.7197,156.9525",1,2.0
"-8.8481,-0.2300",1,1.0
"-52.1683,-30.8529",1,1.0
"-4.0571,119.8680",1,3.0
"54.7551,-89.8409",1,4.0
"-48.2762,-160.6817",1,1.0
"-51.1411,-66.0021",1,3.0
"23.8602,108.6150",1,3.0
"41.3074,-87.3900",1,4.0
"-69.5907,-1.3989",1,4.0
"25.2432,-57.8409",1,5.0
"-81.1324,26.9739",1,4.0
"-62.8077,-63.6765",1,
"-29.8540,-60.9463",1,3.0
"-87.1252,-106.0316",1,5.0
"-73.1556,-131.6958",1,5.0
"67.4349,-40.5726",1,3.0
"-66.9419,-97.6038",1,3.0
"63.8872,174.0630",1,2.0
"-71.3448,-8.5660",1,5.0
"16.5904,-110.7246",1,4.0
"32.2026,165.1435",1,1.0
"-67.9818,2.4533",1,
"-22.2763,131.4726",1,5.0
"70.2684,-72.9907",1,1.0
"39.2340,172.3780",1,5.0
"72.8920,0.0600",1,3.0
"-8.8227,136.0423",1,2.0
"-52.8470,13.7542",1,1.0
"-0.3827,166.5215",1,5.0
"44.5681,-136.2675",1,4.0
"31.3533,-143.3658",1,4.0
"-23.4103,134.1741",1,2.0
"-58.0935,167.9923",1,3.0
"-76.6481,-114.0894",1,3.0
"86.9665,172.7474",1,2.0
"-42.1035,-112.4232",1,2.0
"-74.9372,-45.4615",1,3.0
"-63.4243,63.3069",1,
"25.7108,-170.9007",1,3.0
"22.2094,13.0902",1,3.0
"-21.2302,-3.3339",1,4.0
"-63.0486,19.4396",1,4.0
"-66.4643,117.2279",1,2.0
"11.8039,-153.6230",1,3.0
"-14.3057,172.2810",1,1.0
"-55.6078,12.6637",1,1.0
"13.1425,-152.7957",1,4.0
"-81.3894,-139.0999",1,2.0
"-85.2539,-25.2632",1,2.0
"-4.7305,74.8177",1,3.0
"-56.9287,14.6444",1,5.0
"-15.8203,150.4712",1,4.0
"-65.7638,136.8439",1,4.0
"-2.4441,-1.3981",1,3.0
"70.8814,-90.0243",1,1.0
"26.5333,31.5373",1,1.0
"-42.7881,-104.4128",1,4.0
"39.7391,60.8613",1,1.0
"55.3357,-165.5755",1,3.0
"52.9555,-30.0372",1,
"2.1782,7.4159",1,4.0
"-66.0914,38.0878",1,5.0
"-20.9014,159.3361",1,1.0
"-38.4949,134.4591",1,1.0
"89.4560,-62.3116",1,
"-40.8280,-95.5124",1,1.0
"55.9302,114.3591",1,5.0
"-35.8150,-101.9756",1,1.0
"-0.7028,-94.5266",1,2.0
"72.2112,84.7552",1,5.0
"-30.4716,-154.7968",1,5.0
"-81.1285,61.4171",1,3.0
"19.2454,-119.7202",1,1.0
"64.2173,-146.5746",1,1.0
"58.4067,-90.6817",1,4.0
"-64.1218,-55.4640",1,1.0
"11.4928,-73.2384",1,2.0
"86.3876,72.9997",1,5.0
"22.9899,-89.7938",1,2.0
"-40.6644,-116.4433",1,2.0
"74.0239,151.1578",1,1.0
"-42.1382,40.5704",1,5.0
"15.0204,-103.3151",1,3.0
"-82.7405,70.8416",1,1.0
"51.6614,-120.4447",1,3.0
"39.5290,74.6282",1,3.0
"22.7905,139.8783",1,3.0
"22.5086,-174.2683",1,2.0
"-82.7951,82.1415",1,1.0
"12.4681,158.2488",1,3.0
"36.4433,137.5954",1,2.0
"84.9420,141.1486",1,1.0
"-88.0356,-58.8359",1,1.0
"46.2830,173.2640",1,4.0
"64.1114,21.4094",1,2.0
"-18.8157,95.9626",1,
"-50.2673,-5.2283",1,4.0
"-58.6562,-168.8162",1,5.0
"-11.0744,-59.8598",1,1.0
"-53.5722,-68.7656",1,3.0
"10.5188,124.3083",1,
"-63.8470,-49.8226",1,4.0
"86.9063,131.2939",1,2.0
"80.4016,-59.9925",1,3.0
"-46.2980,43.0642",1,1.0
"-78.7436,-163.2964",1,4.0
"-13.0406,-166.3129",1,5.0
"-65.8055,-128.1218",1,2.0
"-33.5529,-149.7198",1,1.0
"-19.5807,-157.9283",1,1.0
"12.9791,-56.9788",1,5.0
"27.0346,130.5707",1,1.0
"-78.8080,26.2872",1,5.0
"33.2565,91.6563",1,4.0
"-12.6743,84.4485",1,4.0
"-18.3762,94.1254",1,
"-44.7139,33.2853",1,1.0
"4.5283,-176.3012",1,1.0
"-62.3976,-84.8901",1,5.0
"-48.3669,69.4843",1,2.0
"-18.6819,57.6166",1,1.0
"-25.2884,-155.2478",1,2.0
"-32.7545,-27.9269",1,
"10.1660,-148.6402",1,3.0
"-49.1924,98.9176",1,4.0
"6.3565,105.4961",1,3.0
"54.6014,-154.5497",1,1.0
"-32.5638,55.2960",1,2.0
"7.5575,130.0226",1,5.0
"-39.0198,102.2990",1,3.0
"-69.4894,81.4339",1,1.0
"-86.2043,26.5036",1,4.0
"29.8135,-117.2802",1,1.0
"-72.7905,157.3376",1,1.0
"14.8600,2.3160",1,1.0
"-43.7937,-136.8558",1,4.0
"31.4016,-95.6214",1,1.0
"9.8988,25.9852",1,1.0
"54.6147,-162.9974",1,3.0
"83.5034,-158.3190",1,3.0
"-75.3903,-23.5275",1,2.0
"-41.0424,58.4552",1,1.0
"49.9766,169.6058",1,5.0
"69.2734,9.1069",1,
"-42.5568,97.0674",1,4.0
"81.3998,123.4891",1,1.0
"84.9645,-115.2402",1,2.0
"-37.0053,-112.9232",1,1.0
"24.7235,10.0974",1,3.0
"-38.9815,-72.1066",1,3.0
"55.4260,3.8255",1,5.0
"-73.2909,-114.0620",1,3.0
"-72.8135,-165.0686",1,4.0
"77.2479,18.0448",1,2.0
"13.9396,-137.8319",1,5.0
"76.5206,24.4297",1,4.0
"88.9732,-163.3732",1,2.0
"-83.0047,-121.5835",1,1.0
"-44.1841,-38.8295",1,3.0
"-72.0595,-174.3675",1,4.0
"-78.9071,-35.2330",1,1.0
"-13.6550,-93.7404",1,2.0
"69.6134,168.2839",1,5.0
"-52.8736,87.9830",1,2.0
"-87.7846,-95.7800",1,2.0
"-6.8325,-59.4155",1,
"-70.9337,-23.4072",1,2.0
"56.8691,-152.0058",1,4.0
"65.1776,92.7425",1,1.0
"-39.4059,103.5628",1,1.0
"28.6919,25.2907",1,1.0
"87.3214,121.8070",1,5.0
"43.2673,-26.8847",1,5.0
"-89.2912,-151.0539",1,2.0
"-60.0705,72.6026",1,5.0
"-2.1326,94.4944",1,1.0
"-71.8901,-176.9604",1,1.0
"35.9328,-58.0253",1,3.0
"-46.7373,-168.9593",1,
"63.0358,179.8982",1,5.0
"80.2289,157.4931",1,3.0
"-83.3958,-137.3661",1,4.0
"5.7906,111.0552",1,1.0
"27.6557,58.7124",1,2.0
"-26.9032,142.4728",1,2.0
"-39.0338,-73.2115",1,1.0
"-82.6223,-10.0916",1,5.0
"83.4805,37.3721",1,3.0
"66.3855,-127.2594",1,1.0
"65.4112,-27.0086",1,5.0
"25.4262,106.3921",1,2.0
"-26.9210,-14.2705",1,1.0
"73.9340,-80.9389",1,1.0
"-85.8852,134.5387",1,3.0
"38.4809,-8.3789",1,1.0
"-38.6888,176.0933",1,
"-38.5836,6.6324",1,5.0
"-87.3551,76.5068",1,5.0
"13.0152,-95.7099",1,2.0
"-11.2228,111.6307",1,3.0
"86.8506,-94.2130",1,5.0
"81.6926,-39.0609",1,
"-89.4856,172.3191",1,
"-22.1927,64.1793",1,
"-71.2483,129.6776",1,4.0
"73.2903,-177.5281",1,5.0
"71.8777,-165.9169",1,4.0
"15.7544,-27.4162",1,5.0
"-80.1942,-14.2306",1,
"-44.0274,52.6188",1,1.0
"25.2929,-24.6209",1,4.0
"-87.6002,-24.6691",1,2.0
"-15.3652,-0.7378",1,4.0
"21.0416,-139.7388",1,3.0
"7.9375,120.7963",1,4.0
"84.1521,150.2082",1,4.0
"8.5790,-141.1086",1,4.0
"-56.7522,32.0277",1,4.0
"-35.9331,-21.7862",1,2.0
"-87.9492,119.4659",1,2.0
"41.4673,-87.9772",1,3.0
"63.3563,123.1999",1,1.0
"-8.8442,116.3358",1,1.0
"19.7941,-138.6013",1,
"56.8918,-96.3695",1,3.0
"38.2509,112.0096",1,1.0
"-69.8359,136.8137",1,1.0
"0.3731,-176.5240",1,5.0
"68.6351,-93.2522",1,2.0
"-48.0556,-77.4095",1,5.0
"-49.5039,35.3450",1,1.0
"-73.1313,82.4047",1,3.0
"5.6330,57.7512",1,3.0
"-60.1988,88.1272",1,5.0
"-79.4066,78.7707",1,5.0
"37.9703,89.1399",1,5.0
"65.5106,-123.2521",1,4.0
"-31.0669,148.8827",1,5.0
"52.8240,-131.5497",1,
"85.7556,-159.1248",1,5.0
"65.2535,62.1521",1,
"30.8566,170.3974",1,4.0
"-80.5875,115.3144",1,4.0
"-58.5666,142.2893",1,5.0
"28.6670,30.3296",1,1.0
"11.0781,36.4500",1,
"10.5586,75.8364",1,3.0
"-24.0563,174.2684",1,5.0
"45.2434,78.2150",1,2.0
"31.3097,9.1793",1,3.0
"-28.8554,71.3158",1,2.0
"37.3992,46.2148",1,2.0
"-75.6659,-132.2209",1,2.0
"-3.4116,-47.6965",1,
"31.5211,-35.0262",1,3.0
"-9.5011,-0.2531",1,4.0
"-3.4271,-27.0724",1,1.0
"-82.1072,165.3641",1,4.0
"12.6933,-135.1456",1,1.0
"53.3297,74.5615",1,5.0
"-83.6223,-150.4430",1,4.0
"-54.5491,-166.7098",1,3.0
"86.7364,-133.3756",1,4.0
"62.1788,-137.9907",1,
"-24.9835,-89.6133",1,3.0
"37.8615,-144.6313",1,4.0
"-9.0207,-16.7037",1,2.0
"32.4490,-171.1820",1,4.0
"37.8130,127.4233",1,3.0
"70.8108,71.3183",1,5.0
"-35.7824,173.3513",1,5.0
"-61.4555,83.7052",1,5.0
"-60.6947,-33.9308",1,3.0
"-86.9698,-97.2083",1,4.0
"-17.2841,19.6179",1,3.0
"16.7039,80.1495",1,5.0
"0.5016,149.4482",1,2.0
"78.7641,-68.6992",1,5.0
"-56.9159,-115.9632",1,5.0
"31.3380,-28.0737",1,5.0
"-79.0245,65.3630",1,4.0
"-39.2308,-4.0653",1,3.0
"-23.8373,-18.8656",1,3.0
"34.6124,98.7332",1,5.0
"47.1619,-79.5192",1,4.0
"-54.4507,111.8848",1,5.0
"-14.2418,65.1862",1,3.0
"-49.4150,0.0229",1,4.0
"-9.7862,-145.6669",1,3.0
